"Requirement_ID","Object Text","Created By","Created On","Last Modified By","Last Modified On","IsRequirement"
"VSM-IP-28",,"coerbc1","18 November 2014","coerbc1","18 November 2014","TRUE"
"VSM-IP-29",,"coerbc1","18 November 2014","coerbc1","18 November 2014","TRUE"
"VSM-IP-30",,"coerbc1","18 November 2014","coerbc1","03 December 2014","TRUE"
"VSM-IP-31",,"coerbc1","18 November 2014","coerbc1","18 November 2014","TRUE"
"VSM-IP-52","When an IP source is connected to the device, the GUI shall add an IP waveform block to the monitoring screen.","coerbc1","25 November 2014","coerbc1","25 November 2014","TRUE"
"VSM-IP-59","The monitoring screen shall display a maximum of 3 IP waveform blocks corresponding to the number of IP sources connected to the device.","coerbc1","25 November 2014","coerbc1","25 November 2014","TRUE"
"VSM-IP-53","Upon initialization, an IP waveform block shall display controls giving the user the ability to set the IP source to one of the following values: Intracranial (ICP), Central Venous (CVP), Pulmonary Artery (PA), Arterial (ART), Left Atrial (LAP)","coerbc1","25 November 2014","coerbc1","25 November 2014","TRUE"
"VSM-IP-32","The IP Block shall display the current systolic, diastolic, and mean pressure values for sources labeled ART or PA.","coerbc1","18 November 2014","coerbc1","25 November 2014","TRUE"
"VSM-IP-55","The IP Block shall display the current mean pressure values for sources labeled ICP, CVP, or LAP.","coerbc1","25 November 2014","coerbc1","25 November 2014","TRUE"
"VSM-IP-33","Systolic and diastolic pressures shall be displayed as primary data for sources labeled ART or PA.","coerbc1","18 November 2014","coerbc1","25 November 2014","TRUE"
"VSM-IP-34","Mean pressure values shall be displayed as secondary data and inside parentheses for sources labeled ART or PA.","coerbc1","18 November 2014","coerbc1","25 November 2014","TRUE"
"VSM-IP-56","Mean pressure values shall be displayed as primary data for sources labeled ICP, CVP, or LAP.","coerbc1","25 November 2014","coerbc1","25 November 2014","TRUE"
"VSM-IP-35","Invalid systolic, diastolic, and mean pressure values shall be represented by dashes","coerbc1","18 November 2014","coerbc1","18 November 2014","TRUE"
"VSM-IP-36","Systolic values of TBD shall be considered invalid.","coerbc1","18 November 2014","coerbc1","18 November 2014","TRUE"
"VSM-IP-37","Diastolic values of TBD shall be considered invalid.","coerbc1","18 November 2014","coerbc1","18 November 2014","TRUE"
"VSM-IP-38","Mean pressure values of TBD shall be considered invalid.","coerbc1","18 November 2014","coerbc1","18 November 2014","TRUE"
"VSM-IP-54","Upon disconnection of an IP source from the device, the corresponding IP waveform block shall be removed from the monitoring screen.","coerbc1","25 November 2014","coerbc1","25 November 2014","TRUE"
"VSM-IP-39",,"coerbc1","18 November 2014","coerbc1","25 November 2014","TRUE"
"VSM-IP-40","The IP Menu shall display buttons for alarms, trend, and settings sub-menus.","coerbc1","18 November 2014","coerbc1","18 November 2014","TRUE"
"VSM-IP-48",,"coerbc1","25 November 2014","coerbc1","25 November 2014","TRUE"
"VSM-IP-43","For pressure sources labeled CVP, ICP, or LAP, the IP alarms menu shall give the user controls to adjust upper and lower alarms for mean IP values.","coerbc1","18 November 2014","coerbc1","18 November 2014","TRUE"
"VSM-IP-44","The IP alarms menu shall give the user controls to reset the alarms to defaults or apply the quickset algorithm to the alarm values.","coerbc1","18 November 2014","coerbc1","18 November 2014","TRUE"
"VSM-IP-42","For pressure sources labeled ART and PA, the IP alarms menu shall give the user controls to adjust upper and lower alarms for systolic and diastolic values.","coerbc1","18 November 2014","coerbc1","18 November 2014","TRUE"
"VSM-IP-50",,"coerbc1","25 November 2014","coerbc1","03 December 2014","TRUE"
"VSM-IP-41","The user shall have the ability to set the IP source to one of the following values: Intracranial (ICP), Central Venous (CVP), Pulmonary Artery (PA), Arterial (ART), Left Atrial (LAP)","coerbc1","18 November 2014","coerbc1","18 November 2014","TRUE"
